shape,value
"POLYGON ((-99.85612244897959 30.02367346938776, -99.85387755102039 30.02367346938776, -99.85387755102039 30.033326530612243, -99.85612244897959 30.033326530612243, -99.85612244897959 30.02367346938776))",5.310584882051517e-7
"POLYGON ((-99.85612244897959 30.033326530612243, -99.85387755102039 30.033326530612243, -99.85387755102039 30.042979591836733, -99.85612244897959 30.042979591836733, -99.85612244897959 30.033326530612243))",9.813336068992684e-7
"POLYGON ((-99.85612244897959 30.042979591836733, -99.85387755102039 30.042979591836733, -99.85387755102039 30.052632653061224, -99.85612244897959 30.052632653061224, -99.85612244897959 30.042979591836733))",1.2724948536924532e-6
"POLYGON ((-99.85612244897959 30.052632653061224, -99.85387755102039 30.052632653061224, -99.85387755102039 30.062285714285714, -99.85612244897959 30.062285714285714, -99.85612244897959 30.052632653061224))",1.1567656047140115e-6
"POLYGON ((-99.85612244897959 30.062285714285714, -99.85387755102039 30.062285714285714, -99.85387755102039 30.071938775510205, -99.85612244897959 30.071938775510205, -99.85612244897959 30.062285714285714))",7.374616200844195e-7
"POLYGON ((-99.85612244897959 30.071938775510205, -99.85387755102039 30.071938775510205, -99.85387755102039 30.081591836734695, -99.85612244897959 30.081591836734695, -99.85612244897959 30.071938775510205))",3.302415097470453e-7
"POLYGON ((-99.85612244897959 30.081591836734695, -99.85387755102039 30.081591836734695, -99.85387755102039 30.091244897959186, -99.85612244897959 30.091244897959186, -99.85612244897959 30.081591836734695))",1.0414114053447808e-7
"POLYGON ((-99.85612244897959 30.091244897959186, -99.85387755102039 30.091244897959186, -99.85387755102039 30.10089795918367, -99.85612244897959 30.10089795918367, -99.85612244897959 30.091244897959186))",2.31971612653228e-8
"POLYGON ((-99.85612244897959 30.100897959183676, -99.85387755102039 30.100897959183676, -99.85387755102039 30.11055102040816, -99.85612244897959 30.11055102040816, -99.85612244897959 30.100897959183676))",3.6613171249795453e-9
"POLYGON ((-99.85612244897959 30.110551020408167, -99.85387755102039 30.110551020408167, -99.85387755102039 30.12020408163265, -99.85612244897959 30.12020408163265, -99.85612244897959 30.110551020408167))",4.1068435520893443e-10
"POLYGON ((-99.85612244897959 30.120204081632657, -99.85387755102039 30.120204081632657, -99.85387755102039 30.12985714285714, -99.85612244897959 30.12985714285714, -99.85612244897959 30.120204081632657))",3.282140690061839e-11
"POLYGON ((-99.85612244897959 30.129857142857148, -99.85387755102039 30.129857142857148, -99.85387755102039 30.13951020408163, -99.85612244897959 30.13951020408163, -99.85612244897959 30.129857142857148))",1.872820171374085e-12
"POLYGON ((-99.85612244897959 30.13951020408163, -99.85387755102039 30.13951020408163, -99.85387755102039 30.14916326530612, -99.85612244897959 30.14916326530612, -99.85612244897959 30.13951020408163))",7.642828363443307e-14
