FaultID,Latitude(WGS84),Longitude(WGS84),Strike,Dip,LengthKm,FrictionCoefficient
Fault1,29.04384521093328,-97.80249327482383,30.0,75.0,6.2,0.58
Fault2,29.07698897893761,-97.79952926327326,28.0,72.0,5.8,0.58
Fault3,29.04838727869244,-97.81341887770945,45.0,50.0,7.0,0.58
Fault4,29.098084957337463,-97.81238699788491,60.0,55.0,6.5,0.58
Fault5,29.078225927092067,-97.77083374774816,20.0,45.0,6.8,0.58
Fault6,29.06513855876352,-97.84393382284472,35.0,48.0,7.2,0.58
Fault7,29.062695834780616,-97.85334637987104,50.0,52.0,6.0,0.58
Fault8,29.18494406004179,-97.80581391730514,32.0,78.0,7.5,0.58
Fault9,29.213680731520675,-97.7939019432292,15.0,60.0,6.3,0.58
Fault10,29.131038613302984,-97.60755801037962,70.0,47.0,6.7,0.58
